event_id,selection_id,source_event_id,source_run_id,run_id,contract_id,source_revision,rank,worker_id,device_id,request_id,engine_step_id,forward_id,layer_id,layer_occurrence,phase,total_num_scheduled_tokens,q_len,past_len,kv_len,layer_type,source_contract_match,source_mapping_error,hidden_shape_in,residual_shape_in,positions_shape,hidden_shape_out,residual_shape_out,matched,fx_sampled,fx_traced,fx_trace_status,fx_node_count,trace_dir,capture_begin_ns,capture_end_ns,eager_begin_ns,eager_end_ns,error
input1_layer10,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,10,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571109178997,4308571112494328,
input1_layer11,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,11,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571114296005,4308571116367324,
input1_layer12,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,12,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571118031110,4308571121365031,
input1_layer13,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,13,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571123132907,4308571126439978,
input1_layer14,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,14,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571128434426,4308571131751337,
input1_layer15,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,15,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571133734696,4308571135804665,
input1_layer16,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,16,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571137696682,4308571141057064,
input1_layer17,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,17,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571142931921,4308571146272062,
input1_layer18,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,18,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571148390792,4308571151706533,
input1_layer19,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,19,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571153515730,4308571155595939,
input1_layer20,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,20,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571157427706,4308571160801647,
input1_layer21,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,21,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571162829046,4308571166176257,
input1_layer22,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,22,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571168120625,4308571171470016,
input1_layer23,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,23,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571173350084,4308571175444683,
input1_layer24,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,24,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571177365091,4308571180781523,
input1_layer25,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,25,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571182741621,4308571186144343,
input1_layer26,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,26,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571187905489,4308571191321421,
input1_layer27,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,27,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571193531462,4308571195657871,
input1_layer28,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,28,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571197547299,4308571200981641,
input1_layer29,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,29,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571203002980,4308571206426351,
input1_layer30,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,30,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571208308779,4308571211716301,
input1_layer31,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,31,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571215277434,4308571217393613,
input1_layer32,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,32,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571219319021,4308571222748443,
input1_layer33,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,33,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571224701951,4308571228119413,
input1_layer34,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,34,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571230094922,4308571233544154,
input1_layer35,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,35,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571235541242,4308571237837263,
input1_layer36,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,36,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571239646060,4308571243112392,
input1_layer37,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,37,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571244813718,4308571248290911,
input1_layer38,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,38,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571249901906,4308571253369608,
input1_layer39,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,39,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571255198935,4308571257365675,
input1_layer40,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,40,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571259045741,4308571262586724,
input1_layer41,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,41,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571264420581,4308571267903513,
input1_layer42,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,42,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571269664399,4308571273143902,
input1_layer43,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,43,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571274941168,4308571277097469,
input1_layer44,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,44,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571279003116,4308571282513629,
input1_layer45,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,45,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571284350786,4308571287849448,
input1_layer46,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,46,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571290107179,4308571293600292,
input1_layer47,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,47,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571295455379,4308571297625059,
input1_layer48,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,48,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571299476387,4308571302991989,
input1_layer49,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,49,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571304825716,4308571308359019,
input1_layer50,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,50,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571310362458,4308571313864020,
input1_layer51,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,51,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571326701420,4308571328895010,
input1_layer52,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,52,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571330691397,4308571334209869,
input1_layer53,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,53,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571336102977,4308571339605229,
input1_layer54,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,54,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571341725439,4308571345248102,
