event_id,selection_id,source_event_id,source_run_id,run_id,contract_id,source_revision,rank,worker_id,device_id,request_id,engine_step_id,forward_id,layer_id,layer_occurrence,phase,total_num_scheduled_tokens,q_len,past_len,kv_len,layer_type,source_contract_match,source_mapping_error,hidden_shape_in,residual_shape_in,positions_shape,hidden_shape_out,residual_shape_out,matched,fx_sampled,fx_traced,fx_trace_status,fx_node_count,trace_dir,capture_begin_ns,capture_end_ns,eager_begin_ns,eager_end_ns,error
input1_layer0,selected:01,chatcmpl-bench-7f1746b7-0-9eeec82b|s1|f1|l0|o0,20260729T050800Z-fx-89687ae2-R02,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,0,0,prefill_chunk,4096,4096,0,4096,linear_attention,False,request_id:'chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99'!='chatcmpl-bench-7f1746b7-0-9eeec82b',"[4096,5120]",null,"[3,4096]","[4096,5120]","[4096,5120]",True,True,True,ok,77,/public/home/tangyu408/Qwen_DCU_Worker_0/workload_profile/fx/traces/20260729T050800Z-fx-89687ae2-R032-qwen35-27b-eager-row0-hcu0/input1_layer0,4308558727204959,4308558761370916,4308558763773519,4308570960018821,
input1_layer1,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,1,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308570966315199,4308570973916310,
input1_layer2,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,2,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308570975944929,4308570987651358,
input1_layer3,selected:02,chatcmpl-bench-7f1746b7-0-9eeec82b|s1|f1|l3|o0,20260729T050800Z-fx-89687ae2-R02,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,3,0,prefill_chunk,4096,4096,0,4096,full_attention,False,request_id:'chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99'!='chatcmpl-bench-7f1746b7-0-9eeec82b',"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",True,True,True,ok,155,/public/home/tangyu408/Qwen_DCU_Worker_0/workload_profile/fx/traces/20260729T050800Z-fx-89687ae2-R032-qwen35-27b-eager-row0-hcu0/input1_layer3,4308570989760887,4308571034378282,4308571037052747,4308571063807986,
input1_layer4,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,4,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571065971556,4308571081567281,
input1_layer5,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,5,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571083772471,4308571087121462,
input1_layer6,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,6,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571089306033,4308571092629044,
input1_layer7,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,7,0,prefill_chunk,4096,4096,0,4096,full_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571094428070,4308571096578360,
input1_layer8,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,8,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571098684750,4308571102007751,
input1_layer9,,,,20260729T050800Z-fx-89687ae2-R032,pra2026-bh408@3d036144-16-32K-row0-greedy1024,3d03614452cd0a925abc82a7686560ff80252dfa,0,rank0,HCU0:TCA23906041001,chatcmpl-bench-7f1746b7-0-9eeec82b-9c959c99,1,1,9,0,prefill_chunk,4096,4096,0,4096,linear_attention,,,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,0,0,4308571104046050,4308571107345960,
